date,price,open,high,low,change_percent
04/24/2020,2836.7,2812.6,2842.7,2791.8,1.39%
04/23/2020,2797.8,2810.4,2844.9,2794.3,-0.05%
04/22/2020,2799.3,2787.9,2815.1,2775.9,2.29%
04/21/2020,2736.6,2784.8,2785.5,2727.1,-3.07%
04/20/2020,2823.2,2845.6,2869,2820.4,-1.79%
04/17/2020,2874.6,2842.4,2879.2,2830.9,2.68%
04/16/2020,2799.6,2799.3,2806.5,2764.3,0.58%
04/15/2020,2783.4,2795.6,2801.9,2761.5,-2.20%
04/14/2020,2846.1,2805.1,2851.8,2805.1,3.06%
04/13/2020,2761.6,2782.5,2782.5,2721.2,-1.01%
04/09/2020,2789.8,2777,2818.6,2762.4,1.45%
04/08/2020,2750,2685,2760.8,2663.3,3.41%
04/07/2020,2659.4,2738.7,2756.9,2657.7,-0.16%
04/06/2020,2663.7,2578.3,2676.8,2574.6,7.03%
04/03/2020,2488.7,2514.9,2538.2,2460,-1.51%
04/02/2020,2526.9,2458.5,2533.2,2455.8,2.28%
04/01/2020,2470.5,2498.1,2522.8,2447.5,-4.41%
03/31/2020,2584.6,2614.7,2641.4,2571.2,-1.60%
03/30/2020,2626.7,2559,2631.8,2545.3,3.35%
03/27/2020,2541.5,2555.9,2615.9,2520,-3.37%
03/26/2020,2630.1,2501.3,2637,2500.7,6.24%
03/25/2020,2475.6,2457.8,2571.4,2407.5,1.16%
03/24/2020,2447.3,2344.4,2449.7,2344.4,9.38%
03/23/2020,2237.4,2290.7,2300.7,2191.9,-2.93%
03/20/2020,2304.9,2431.9,2453,2295.6,-4.34%
03/19/2020,2409.4,2393.5,2467,2319.8,0.47%
03/18/2020,2398.1,2436.5,2453.6,2280.5,-5.18%
03/17/2020,2529.2,2425.7,2553.9,2367,6.00%
03/16/2020,2386.1,2508.6,2563,2380.9,-11.98%
03/13/2020,2711,2570,2711.3,2492.4,9.29%
03/12/2020,2480.6,2630.9,2660.9,2478.9,-9.51%
03/11/2020,2741.4,2825.6,2825.6,2707.2,-4.89%
03/10/2020,2882.2,2813.5,2882.6,2734,4.94%
03/09/2020,2746.6,2863.9,2863.9,2734.4,-7.60%
03/06/2020,2972.4,2954.2,2985.9,2901.5,-1.70%
03/05/2020,3023.9,3075.7,3083,2999.8,-3.39%
03/04/2020,3130.1,3045.8,3131,3034.4,4.22%
03/03/2020,3003.4,3096.5,3136.7,2976.6,-2.81%
03/02/2020,3090.2,2974.3,3091,2945.2,4.60%
02/28/2020,2954.2,2916.9,2959.7,2855.8,-0.83%
02/27/2020,2978.8,3062.5,3097.1,2977.4,-4.42%
02/26/2020,3116.4,3139.9,3182.5,3109,-0.38%
02/25/2020,3128.2,3238.9,3247,3118.8,-3.03%
02/24/2020,3225.9,3257.6,3259.8,3214.7,-3.35%
02/21/2020,3337.8,3360.5,3360.8,3328.4,-1.05%
02/20/2020,3373.2,3380.4,3389.2,3341,-0.38%
02/19/2020,3386.2,3380.4,3393.5,3378.8,0.47%
02/18/2020,3370.3,3369,3375,3355.6,-0.29%
02/14/2020,3380.2,3378.1,3380.7,3366.2,0.19%
02/13/2020,3373.9,3365.9,3385.1,3360.5,-0.16%
02/12/2020,3379.4,3370.5,3381.5,3369.7,0.64%
02/11/2020,3357.8,3365.9,3375.6,3352.7,0.17%
02/10/2020,3352.1,3318.3,3352.3,3317.8,0.73%
02/07/2020,3327.7,3335.5,3341.4,3322.1,-0.54%
02/06/2020,3345.8,3344.9,3348,3334.4,0.33%
02/05/2020,3334.7,3324.9,3337.6,3313.8,1.13%
02/04/2020,3297.6,3280.6,3306.9,3280.6,1.50%
02/03/2020,3248.9,3235.7,3268.4,3235.7,0.73%
01/31/2020,3225.5,3282.3,3282.3,3214.7,-1.77%
01/30/2020,3283.7,3256.4,3285.9,3242.8,0.31%
01/29/2020,3273.4,3289.5,3293.5,3271.9,-0.09%
01/28/2020,3276.2,3255.3,3285.8,3253.2,1.01%
01/27/2020,3243.6,3247.2,3258.8,3234.5,-1.57%
01/24/2020,3295.5,3333.1,3333.2,3281.5,-0.90%
01/23/2020,3325.5,3315.8,3326.9,3301.9,0.11%
01/22/2020,3321.8,3330,3337.8,3320,0.03%
01/21/2020,3320.8,3321,3329.8,3316.6,-0.26%
01/17/2020,3329.6,3323.7,3329.9,3318.9,0.39%
01/16/2020,3316.8,3303,3317.1,3302.8,0.84%
01/15/2020,3289.3,3282.3,3298.7,3280.7,0.19%
01/14/2020,3283.2,3285.3,3294.2,3277.2,-0.15%
01/13/2020,3288.1,3271.1,3288.1,3268.4,0.70%
01/10/2020,3265.3,3281.8,3283,3260.9,-0.29%
01/09/2020,3274.7,3266,3275.6,3263.7,0.66%
01/08/2020,3253.1,3238.6,3267.1,3236.7,0.49%
01/07/2020,3237.2,3241.9,3244.9,3232.4,-0.28%
01/06/2020,3246.3,3217.6,3246.8,3214.6,0.36%
01/03/2020,3234.8,3226.4,3246.2,3222.3,-0.71%
01/02/2020,3257.8,3244.7,3258.1,3235.5,0.84%
12/31/2019,3230.8,3215.2,3231.7,3212,0.29%
12/30/2019,3221.3,3240.1,3240.9,3216.6,-0.58%
12/27/2019,3240,3247.2,3247.9,3234.4,0.00%
12/26/2019,3239.9,3227.2,3240.1,3227.2,0.51%
12/24/2019,3223.4,3225.4,3226.4,3220.5,-0.02%
12/23/2019,3224,3226.1,3227.8,3222.3,0.09%
12/20/2019,3221.2,3223.3,3225.7,3216,0.49%
12/19/2019,3205.4,3192.3,3205.5,3192.3,0.45%
12/18/2019,3191.1,3195.2,3198.5,3191.1,-0.04%
12/17/2019,3192.5,3195.4,3198.2,3191,0.03%
12/16/2019,3191.4,3183.6,3197.7,3183.6,0.71%
12/13/2019,3168.8,3166.7,3182.7,3156.5,0.01%
12/12/2019,3168.6,3141.2,3176.3,3138.5,0.86%
12/11/2019,3141.6,3135.8,3144,3133.2,0.29%
12/10/2019,3132.5,3135.4,3142.1,3126.1,-0.11%
12/09/2019,3136,3141.9,3148.9,3135.5,-0.31%
12/06/2019,3145.9,3134.6,3150.6,3134.6,0.91%
12/05/2019,3117.4,3119.2,3119.4,3103.8,0.15%
12/04/2019,3112.8,3103.5,3119.4,3102.5,0.63%
12/03/2019,3093.2,3087.4,3095,3070.3,-0.66%
12/02/2019,3113.9,3143.8,3144.3,3110.8,-0.86%
11/29/2019,3141,3147.2,3150.3,3139.3,-0.40%
11/27/2019,3153.6,3145.5,3154.3,3143.4,0.42%
11/26/2019,3140.5,3134.8,3142.7,3131,0.22%
11/25/2019,3133.6,3117.4,3133.8,3117.4,0.75%
11/22/2019,3110.3,3111.4,3112.9,3099.3,0.22%
11/21/2019,3103.5,3108.5,3110.1,3094.6,-0.16%
11/20/2019,3108.5,3114.7,3119,3091.4,-0.37%
11/19/2019,3120.2,3127.4,3127.6,3113.5,-0.06%
11/18/2019,3122,3117.9,3124.2,3112.1,0.05%
11/15/2019,3120.5,3107.9,3120.5,3104.6,0.77%
11/14/2019,3096.6,3090.8,3098.2,3083.3,0.08%
11/13/2019,3094,3084.2,3098.1,3078.8,0.07%
11/12/2019,3091.8,3089.3,3102.6,3084.7,0.16%
11/11/2019,3087,3080.3,3088.3,3075.8,-0.20%
11/08/2019,3093.1,3081.2,3093.1,3073.6,0.26%
11/07/2019,3085.2,3087,3097.8,3080.2,0.27%
11/06/2019,3076.8,3075.1,3078.3,3065.9,0.07%
11/05/2019,3074.6,3080.8,3083.9,3072.2,-0.12%
11/04/2019,3078.3,3079,3085.2,3074.9,0.37%
11/01/2019,3066.9,3050.7,3066.9,3050.7,0.96%
10/31/2019,3037.6,3046.9,3046.9,3023.2,-0.30%
10/30/2019,3046.8,3039.7,3050.1,3026,0.33%
10/29/2019,3036.9,3035.4,3047.9,3034.8,-0.08%
10/28/2019,3039.4,3032.1,3044.1,3032.1,0.56%
10/25/2019,3022.6,3003.3,3027.4,3001.9,0.41%
10/24/2019,3010.3,3014.8,3016.1,3000.4,0.19%
10/23/2019,3004.5,2994,3004.8,2991.2,0.28%
10/22/2019,2996,3010.7,3014.6,2995,-0.36%
10/21/2019,3006.7,2996.5,3007.3,2995.3,0.69%
10/18/2019,2986.2,2996.8,3000,2976.3,-0.39%
10/17/2019,2997.9,3000.8,3008.3,2991.8,0.27%
10/16/2019,2989.7,2989.7,2997.5,2985.2,-0.20%
10/15/2019,2995.7,2973.6,3003.3,2973.6,0.99%
10/14/2019,2966.2,2965.8,2972.8,2962.9,-0.14%
10/11/2019,2970.3,2963.1,2993.3,2963.1,1.10%
10/10/2019,2938.1,2918.6,2948.5,2917.1,0.64%
10/09/2019,2919.4,2911.1,2929.3,2907.4,0.91%
10/08/2019,2893.1,2920.4,2925.5,2892.7,-1.56%
10/07/2019,2938.8,2944.2,2959.8,2935.7,-0.45%
10/04/2019,2952,2918.6,2953.7,2918.6,1.42%
10/03/2019,2910.6,2885.4,2911.1,2855.9,0.80%
10/02/2019,2887.6,2924.8,2924.8,2874.9,-1.79%
10/01/2019,2940.2,2983.7,2992.5,2938.7,-1.23%
09/30/2019,2976.7,2967.1,2983.8,2967.1,0.50%
09/27/2019,2961.8,2985.5,2987.3,2945.5,-0.53%
09/26/2019,2977.6,2985.7,2987.3,2963.7,-0.24%
09/25/2019,2984.9,2968.3,2989.8,2952.9,0.62%
09/24/2019,2966.6,3002.4,3008,2957.7,-0.84%
09/23/2019,2991.8,2983.5,2999.2,2982.2,-0.01%
09/20/2019,2992.1,3008.4,3016.4,2984.7,-0.49%
09/19/2019,3006.8,3010.4,3022,3003.2,0.00%
09/18/2019,3006.7,3001.5,3007.8,2978.6,0.03%
09/17/2019,3005.7,2995.7,3006.2,2993.7,0.26%
09/16/2019,2998,2996.4,3002.2,2990.7,-0.31%
09/13/2019,3007.4,3012.2,3017.3,3002.9,-0.07%
09/12/2019,3009.6,3009.1,3020.7,3000.9,0.29%
09/11/2019,3000.9,2981.4,3000.9,2975.3,0.72%
09/10/2019,2979.4,2971,2979.4,2957,0.03%
09/09/2019,2978.4,2988.4,2989.4,2969.4,-0.01%
09/06/2019,2978.7,2980.3,2985,2972.5,0.09%
09/05/2019,2976,2960.6,2985.9,2960.6,1.30%
09/04/2019,2937.8,2924.7,2938.8,2921.9,1.08%
09/03/2019,2906.3,2909,2914.4,2891.8,-0.69%
08/30/2019,2926.5,2937.1,2940.4,2913.3,0.06%
08/29/2019,2924.6,2910.4,2930.5,2905.7,1.27%
